timestamp,temperature_c,precipitation_mm,wind_speed_mps
2025-09-16 00:00:00,12.0,0.0,14.4
2025-09-16 01:00:00,11.7,0.0,14.0
2025-09-16 02:00:00,11.3,0.0,14.8
2025-09-16 03:00:00,11.3,0.0,13.3
2025-09-16 04:00:00,11.0,0.0,13.0
2025-09-16 05:00:00,11.3,0.0,11.2
2025-09-16 06:00:00,11.1,0.0,10.4
2025-09-16 07:00:00,11.0,0.0,10.4
2025-09-16 08:00:00,11.4,0.0,10.4
2025-09-16 09:00:00,12.3,0.0,9.7
2025-09-16 10:00:00,13.4,0.0,12.2
2025-09-16 11:00:00,14.3,0.0,13.7
2025-09-16 12:00:00,15.0,0.0,13.7
2025-09-16 13:00:00,15.1,0.0,13.3
2025-09-16 14:00:00,14.9,0.0,12.2
2025-09-16 15:00:00,14.2,0.1,11.5
2025-09-16 16:00:00,13.7,0.5,11.9
2025-09-16 17:00:00,13.3,0.7,9.0
2025-09-16 18:00:00,13.1,0.6,11.2
2025-09-16 19:00:00,13.5,1.4,12.6
2025-09-16 20:00:00,13.1,1.8,12.2
2025-09-16 21:00:00,13.7,1.6,18.0
2025-09-16 22:00:00,13.6,1.3,19.1
2025-09-16 23:00:00,14.2,0.5,25.6
2025-09-17 00:00:00,14.7,0.5,27.4
2025-09-17 01:00:00,15.3,1.5,23.8
2025-09-17 02:00:00,16.0,0.3,28.1
2025-09-17 03:00:00,16.2,0.3,31.7
2025-09-17 04:00:00,16.3,0.3,31.7
2025-09-17 05:00:00,16.4,0.8,27.7
2025-09-17 06:00:00,16.5,0.2,26.3
2025-09-17 07:00:00,17.0,0.1,23.4
2025-09-17 08:00:00,16.4,0.0,21.6
2025-09-17 09:00:00,16.5,0.0,21.2
2025-09-17 10:00:00,16.0,0.0,22.3
2025-09-17 11:00:00,15.9,0.0,20.5
2025-09-17 12:00:00,16.6,0.0,22.7
2025-09-17 13:00:00,16.4,0.0,22.0
2025-09-17 14:00:00,17.4,0.0,22.3
2025-09-17 15:00:00,17.7,0.0,21.2
2025-09-17 16:00:00,17.7,0.0,20.5
2025-09-17 17:00:00,16.7,0.0,18.4
2025-09-17 18:00:00,16.7,0.0,16.6
2025-09-17 19:00:00,16.2,0.0,14.8
2025-09-17 20:00:00,15.4,0.0,10.8
2025-09-17 21:00:00,15.0,0.0,11.5
2025-09-17 22:00:00,14.7,0.4,11.5
2025-09-17 23:00:00,14.6,0.9,10.8
2025-09-18 00:00:00,14.1,0.4,7.9
2025-09-18 01:00:00,13.7,0.6,2.2
2025-09-18 02:00:00,14.0,0.6,8.6
2025-09-18 03:00:00,13.7,0.3,7.9
2025-09-18 04:00:00,15.2,0.1,16.6
2025-09-18 05:00:00,16.4,0.1,24.5
2025-09-18 06:00:00,16.8,0.7,25.2
2025-09-18 07:00:00,16.7,0.1,28.4
2025-09-18 08:00:00,16.8,0.1,29.9
2025-09-18 09:00:00,16.7,0.1,28.1
2025-09-18 10:00:00,17.1,0.0,20.5
2025-09-18 11:00:00,17.4,0.0,19.8
2025-09-18 12:00:00,17.3,0.0,21.6
2025-09-18 13:00:00,17.1,0.0,18.4
2025-09-18 14:00:00,16.7,0.4,13.0
2025-09-18 15:00:00,16.4,0.2,19.1
2025-09-18 16:00:00,17.5,1.1,28.9
2025-09-18 17:00:00,17.1,0.2,25.8
2025-09-18 18:00:00,16.8,0.2,21.8
